-----------------------------------------------------------
Family information: example_data.tab
Log: log.txt
The number of families is 59
Root Family size : 1 ~ 42
Family size : 0 ~ 84
P-value: 0.01
Num of Threads: 10
Num of Random: 1000
Lambda Tree: (((2,2)1,(1,1)1)1,1)
Empirical Prior Estimation Result: (43 iterations)
Poisson lambda: 9.442907 & Score: 909.325700
Lambda : 0.00968658613161,0.00039317276108 & Score: -2489.560695
.Lambda : 0.01076853184655,0.15298043606361 & Score: -inf
.Lambda : 0.01072286951190,0.15356936127981 & Score: -1119.460872
.Lambda : 0.01068168869928,0.15076425605242 & Score: -1119.920540
.Lambda : 0.01077301336858,0.14958640562002 & Score: -inf
.Lambda : 0.01075018220126,0.14988086822812 & Score: -1119.125757
.Lambda : 0.01075914524532,0.14309280734093 & Score: -inf
.Lambda : 0.01075007631197,0.14571194582565 & Score: -1119.136424
.Lambda : 0.01076842595726,0.14881151366115 & Score: -inf
.Lambda : 0.01075927760693,0.14830396034402 & Score: -inf
.Lambda : 0.01075012925661,0.14779640702689 & Score: -1119.126551
.Lambda : 0.01074100737861,0.14833108431037 & Score: -1119.230447
.Lambda : 0.01075930407926,0.14934619094463 & Score: -inf
.Lambda : 0.01075472990409,0.14909241428607 & Score: -inf
.Lambda : 0.01075015572893,0.14883863762750 & Score: -1119.125048
.Lambda : 0.01074559478993,0.14910597626925 & Score: -1119.177473
.Lambda : 0.01075474314026,0.14961352958638 & Score: -inf
.Lambda : 0.01075245605267,0.14948664125709 & Score: -1119.099026
.Lambda : 0.01075242958035,0.14844441065648 & Score: -1119.099150
.Lambda : 0.01075472990409,0.14909241428607 & Score: -inf
.Lambda : 0.01075358636030,0.14902897012143 & Score: -inf
.Lambda : 0.01075244281651,0.14896552595679 & Score: -1119.098812
.Lambda : 0.01075130589080,0.14916263944230 & Score: -1119.111930
.Lambda : 0.01075359297838,0.14928952777158 & Score: -inf
.Lambda : 0.01075302120649,0.14925780568926 & Score: -inf
.Lambda : 0.01075244943459,0.14922608360694 & Score: -1119.098850
.Lambda : 0.01075187435366,0.14906408269954 & Score: -1119.105361
.Lambda : 0.01075301789745,0.14912752686418 & Score: -inf
.Lambda : 0.01075273201150,0.14911166582302 & Score: -inf
.Lambda : 0.01075244612555,0.14909580478186 & Score: -1119.098814
.Lambda : 0.01075215858509,0.14901480432816 & Score: -1119.102084
.Lambda : 0.01075273035698,0.14904652641048 & Score: -inf
.Lambda : 0.01075258741401,0.14903859588990 & Score: -1119.097172
.Lambda : 0.01075258410497,0.14890831706483 & Score: -1119.097185
.Lambda : 0.01075272870246,0.14898138699795 & Score: -inf
.Lambda : 0.01075265723097,0.14897742173766 & Score: -1119.096355
.Lambda : 0.01075266054001,0.14910770056273 & Score: -1119.096360
.Lambda : 0.01075273035698,0.14904652641048 & Score: -inf
.Lambda : 0.01075269462124,0.14904454378034 & Score: -inf
.Lambda : 0.01075265888549,0.14904256115019 & Score: -1119.096353
.Lambda : 0.01075262232249,0.14900800881378 & Score: -1119.096762
.Lambda : 0.01075269379398,0.14901197407407 & Score: -inf
.Lambda : 0.01075267592611,0.14901098275900 & Score: -1119.096148
.Lambda : 0.01075267758063,0.14907612217154 & Score: -1119.096151
.Lambda : 0.01075269462124,0.14904454378034 & Score: -inf
.Lambda : 0.01075268568730,0.14904404812280 & Score: -1119.096046
.Lambda : 0.01075268403278,0.14897890871026 & Score: -1119.096048
.Lambda : 0.01075269379398,0.14901197407407 & Score: -inf
.Lambda : 0.01075268932701,0.14901172624530 & Score: -inf
.Lambda : 0.01075268486004,0.14901147841653 & Score: -1119.096046
.Lambda : 0.01075268080670,0.14902751544090 & Score: -1119.096097
.Lambda : 0.01075268974064,0.14902801109844 & Score: -inf
.Lambda : 0.01075268750716,0.14902788718405 & Score: -1119.096020
.Lambda : 0.01075268667990,0.14899531747778 & Score: -1119.096021
.Lambda : 0.01075268932701,0.14901172624530 & Score: -inf
.Lambda : 0.01075268821027,0.14901166428811 & Score: -inf
.Lambda : 0.01075268709353,0.14901160233092 & Score: -1119.096020
.Lambda : 0.01075268618360,0.14901968280029 & Score: -1119.096033
.Lambda : 0.01075268841708,0.14901980671468 & Score: -inf
.Lambda : 0.01075268785871,0.14901977573608 & Score: -1119.096014
.Lambda : 0.01075268827234,0.14903606058922 & Score: -inf
.Lambda : 0.01075268797764,0.14902994602464 & Score: -1119.096015
.Lambda : 0.01075268832919,0.14902183457667 & Score: -inf
.Lambda : 0.01075268812368,0.14902334772852 & Score: -1119.096012
.Lambda : 0.01075268800476,0.14901317743996 & Score: -1119.096010
.Lambda : 0.01075268801832,0.14900479314761 & Score: -1119.096008
.Lambda : 0.01075268828329,0.14900836514005 & Score: -inf
.Lambda : 0.01075268817715,0.14901121778906 & Score: -inf
.Lambda : 0.01075268807100,0.14901407043806 & Score: -1119.096010
.Lambda : 0.01075268793852,0.14901228444185 & Score: -1119.096011
